Symbol, Moving Average, Total Volume, Creation Time
NVDA, 119.159, 385034, 1727694056622
NVDA, 119.156, 419034, 1727694116622
NVDA, 119.151, 436522, 1727694176622
NVDA, 119.124, 511082, 1727694236622
NVDA, 119.125, 508328, 1727694296622
NVDA, 119.104, 590978, 1727694356622
NVDA, 119.094, 618562, 1727694416622
NVDA, 119.088, 621446, 1727694476622
NVDA, 119.079, 668246, 1727694536622
NVDA, 119.070, 699208, 1727694596622
NVDA, 119.018, 762092, 1727694656622
NVDA, 118.981, 801342, 1727694716622
NVDA, 118.944, 886684, 1727694776622
NVDA, 118.915, 951538, 1727694836622
NVDA, 118.858, 1033022, 1727694896622
NVDA, 118.741, 884128, 1727694956622
NVDA, 118.723, 922926, 1727695016622
NVDA, 118.711, 930638, 1727695076622
NVDA, 118.688, 874132, 1727695136622
NVDA, 118.681, 889042, 1727695196622
NVDA, 118.658, 835628, 1727695256622
NVDA, 118.648, 820252, 1727695316622
NVDA, 118.641, 814972, 1727695376622
NVDA, 118.625, 820018, 1727695436622
NVDA, 118.616, 814092, 1727695496622
NVDA, 118.589, 741260, 1727695556622
NVDA, 118.578, 729310, 1727695616622
NVDA, 118.561, 692474, 1727695676622
NVDA, 118.546, 667722, 1727695736622
NVDA, 118.552, 591712, 1727695796622
NVDA, 118.547, 565508, 1727695856622
NVDA, 118.535, 513696, 1727695916622
NVDA, 118.529, 512288, 1727695976622
NVDA, 118.525, 522774, 1727696036622
NVDA, 118.518, 501356, 1727696096622
NVDA, 118.494, 527620, 1727696156622
NVDA, 118.477, 593702, 1727696216622
NVDA, 118.467, 599326, 1727696276622
NVDA, 118.409, 662010, 1727696336622
NVDA, 118.382, 678082, 1727696396622
NVDA, 118.343, 774180, 1727696456622
NVDA, 118.224, 1066768, 1727696516622
NVDA, 118.197, 1067018, 1727696576624
NVDA, 118.173, 1070684, 1727696636622
NVDA, 118.158, 1109802, 1727696696622
NVDA, 118.128, 1283896, 1727696756622
NVDA, 118.120, 1322336, 1727696816622
NVDA, 118.108, 1334962, 1727696876622
NVDA, 118.104, 1396908, 1727696936622
NVDA, 118.086, 1481552, 1727696996622
NVDA, 118.040, 1537234, 1727697056623
NVDA, 118.025, 1504184, 1727697116622
NVDA, 118.016, 1549278, 1727697176622
NVDA, 117.993, 1559406, 1727697236622
NVDA, 117.989, 1542566, 1727697296622
NVDA, 117.987, 1480578, 1727697356622
NVDA, 117.992, 1198900, 1727697416622
NVDA, 117.996, 1209452, 1727697476622
NVDA, 117.999, 1179822, 1727697536622
NVDA, 118.002, 1164142, 1727697596622
NVDA, 118.641, 3923917, 1727697656622
NVDA, 118.638, 3941101, 1727697716622
NVDA, 118.640, 4032891, 1727697776622
NVDA, 118.640, 4073881, 1727697836622
NVDA, 118.651, 4020765, 1727697896622
NVDA, 118.675, 3975113, 1727697956622
NVDA, 118.678, 4048453, 1727698016622
NVDA, 118.681, 4064323, 1727698076622
NVDA, 118.688, 4041189, 1727698136622
NVDA, 118.687, 4083201, 1727698196622
NVDA, 118.688, 4109089, 1727698256622
NVDA, 118.685, 4167923, 1727698316622
NVDA, 118.681, 4230705, 1727698376622
NVDA, 118.674, 4264783, 1727698436622
NVDA, 118.670, 4279635, 1727698496622
NVDA, 118.271, 1427700, 1727698556622
NVDA, 118.230, 1426556, 1727698616622
NVDA, 118.202, 1343110, 1727698676622
NVDA, 118.200, 1252914, 1727698736622
NVDA, 118.204, 1261844, 1727698796622
NVDA, 118.202, 1219596, 1727698856622
NVDA, 118.151, 1371268, 1727698916622
NVDA, 118.130, 1337780, 1727698976622
NVDA, 118.107, 1316594, 1727699036622
NVDA, 118.073, 1343236, 1727699096622
NVDA, 118.043, 1353346, 1727699156622
NVDA, 118.009, 1366812, 1727699216622
NVDA, 117.992, 1328564, 1727699276622
NVDA, 117.981, 1339809, 1727699336622
NVDA, 117.976, 1380546, 1727699396622
NVDA, 117.982, 1321678, 1727699456622
NVDA, 117.985, 1307480, 1727699516622
NVDA, 117.985, 1314198, 1727699576622
NVDA, 117.980, 1310016, 1727699636622
NVDA, 117.972, 1302372, 1727699696622
NVDA, 117.966, 1307940, 1727699756622
NVDA, 117.985, 1142224, 1727699816622
NVDA, 117.997, 1140436, 1727699876622
NVDA, 118.008, 1106544, 1727699936622
NVDA, 118.025, 1060850, 1727699996622
NVDA, 118.042, 1008570, 1727700056622
NVDA, 118.060, 1002574, 1727700116622
NVDA, 118.066, 958222, 1727700176622
NVDA, 118.073, 938532, 1727700236622
NVDA, 118.071, 1950148, 1727700296622
NVDA, 118.052, 1965963, 1727700356622
NVDA, 118.044, 1939909, 1727700416622
NVDA, 118.036, 1941269, 1727700476622
NVDA, 118.038, 2029657, 1727700536622
NVDA, 118.041, 2026969, 1727700596622
NVDA, 118.045, 2051437, 1727700656622
NVDA, 118.044, 2025285, 1727700716622
NVDA, 118.052, 2073731, 1727700776622
NVDA, 118.061, 2100641, 1727700836622
NVDA, 118.070, 2099219, 1727700896622
NVDA, 118.077, 2113427, 1727700956622
NVDA, 118.091, 2052249, 1727701016622
NVDA, 118.098, 2047555, 1727701076622
NVDA, 118.100, 2021868, 1727701136622
NVDA, 118.114, 950971, 1727701196622
NVDA, 118.140, 924500, 1727701256622
NVDA, 118.146, 951138, 1727701316622
NVDA, 118.161, 950432, 1727701376622
NVDA, 118.184, 925303, 1727701436622
NVDA, 118.199, 979958, 1727701496622
NVDA, 118.207, 1041136, 1727701556622
NVDA, 118.212, 987298, 1727701616622
NVDA, 118.212, 944716, 1727701676622
NVDA, 118.216, 929884, 1727701736622
NVDA, 118.222, 940158, 1727701796622
NVDA, 118.240, 995246, 1727701856622
NVDA, 118.258, 1080758, 1727701916622
NVDA, 118.266, 1093476, 1727701976622
NVDA, 118.276, 1136452, 1727702036622
NVDA, 118.282, 1151980, 1727702096622
NVDA, 118.289, 1131590, 1727702156622
NVDA, 118.302, 1101098, 1727702216622
NVDA, 118.305, 1137502, 1727702276622
NVDA, 118.308, 1115329, 1727702336622
NVDA, 118.302, 1090600, 1727702396622
NVDA, 118.301, 1096472, 1727702456622
NVDA, 118.296, 1106898, 1727702516622
NVDA, 118.284, 1129448, 1727702576623
NVDA, 118.277, 1129356, 1727702636623
NVDA, 118.269, 1101540, 1727702696622
NVDA, 118.253, 1091774, 1727702756622
NVDA, 118.243, 1014890, 1727702816622
NVDA, 118.241, 1100704, 1727702876622
NVDA, 118.235, 1138424, 1727702936622
NVDA, 118.232, 1143552, 1727702996626
NVDA, 118.322, 9615488, 1727703056622
NVDA, 118.440, 11355099, 1727703116622
NVDA, 118.571, 13818222, 1727703176622
NVDA, 118.724, 16916460, 1727703236622
NVDA, 118.814, 20034038, 1727703296622
NVDA, 118.903, 22719636, 1727703356622
NVDA, 119.000, 25629034, 1727703416622
NVDA, 119.124, 28943594, 1727703476622
NVDA, 119.206, 30272450, 1727703536622
NVDA, 119.278, 31533746, 1727703596622
NVDA, 119.365, 32954314, 1727703656622
NVDA, 119.419, 34101944, 1727703716622
NVDA, 119.455, 34644792, 1727703776622
NVDA, 119.489, 35412800, 1727703836624
NVDA, 119.530, 36314400, 1727703896623
NVDA, 119.664, 29109642, 1727703956626
NVDA, 119.800, 27924978, 1727704016624
NVDA, 119.963, 26516270, 1727704076622
NVDA, 120.140, 24101476, 1727704136622
NVDA, 120.315, 21691724, 1727704196622
NVDA, 120.466, 19520260, 1727704256622
NVDA, 120.639, 17332084, 1727704316622
NVDA, 120.834, 14484928, 1727704376622
NVDA, 120.852, 13640980, 1727704436622
NVDA, 120.851, 13128952, 1727704496622
NVDA, 120.805, 12740784, 1727704556622
NVDA, 120.812, 12342663, 1727704616622
NVDA, 120.817, 12209319, 1727704676622
NVDA, 120.819, 12044817, 1727704736622
NVDA, 120.789, 11999526, 1727704796622
NVDA, 120.725, 11469757, 1727704856622
NVDA, 120.662, 11870531, 1727704916622
NVDA, 120.581, 11712022, 1727704976622
NVDA, 120.505, 11794411, 1727705036622
NVDA, 120.431, 12119443, 1727705096622
NVDA, 120.347, 13127337, 1727705156622
NVDA, 120.259, 14122232, 1727705216622
NVDA, 120.210, 14853121, 1727705276622
NVDA, 120.143, 15906868, 1727705336622
NVDA, 120.058, 17421284, 1727705396622
NVDA, 120.020, 17668706, 1727705456622
NVDA, 119.989, 18624156, 1727705516622
NVDA, 119.971, 19289188, 1727705576622
NVDA, 119.950, 19486748, 1727705636622
NVDA, 119.918, 19855300, 1727705696622
NVDA, 119.868, 20998480, 1727705756622
NVDA, 119.835, 21521496, 1727705816622
NVDA, 119.791, 22092140, 1727705876622
NVDA, 119.753, 22743500, 1727705936622
NVDA, 119.738, 22608520, 1727705996622
NVDA, 119.718, 22358042, 1727706056622
NVDA, 119.705, 21493030, 1727706116622
NVDA, 119.688, 20905288, 1727706176622
NVDA, 119.681, 20090224, 1727706236622
NVDA, 119.679, 18905188, 1727706296622
NVDA, 119.653, 18838884, 1727706356622
NVDA, 119.612, 18662302, 1727706416622
NVDA, 119.597, 18646544, 1727706476622
NVDA, 119.592, 18706560, 1727706536622
NVDA, 119.612, 18946568, 1727706596622
NVDA, 119.657, 18335052, 1727706656622
NVDA, 119.691, 17850236, 1727706716623
NVDA, 119.730, 17265164, 1727706776624
NVDA, 119.775, 17095256, 1727706836623
NVDA, 119.823, 17664216, 1727706896622
NVDA, 119.855, 17409344, 1727706956622
NVDA, 119.876, 17482592, 1727707016622
NVDA, 119.889, 17527112, 1727707076622
NVDA, 119.902, 17715794, 1727707136622
NVDA, 119.930, 17124260, 1727707196622
NVDA, 119.976, 16719724, 1727707256622
NVDA, 120.016, 15776864, 1727707316622
NVDA, 120.023, 15456151, 1727707376622
NVDA, 120.014, 15536575, 1727707436622
NVDA, 120.008, 14627225, 1727707496622
NVDA, 119.991, 13982344, 1727707556622
NVDA, 119.980, 13604839, 1727707616622
NVDA, 119.978, 13039452, 1727707676622
NVDA, 119.974, 12589439, 1727707736622
NVDA, 119.948, 11594268, 1727707796622
NVDA, 119.929, 11076347, 1727707856622
NVDA, 119.917, 10723122, 1727707916622
NVDA, 119.917, 10414416, 1727707976622
NVDA, 119.931, 10324890, 1727708036622
NVDA, 119.939, 10310062, 1727708096622
NVDA, 119.939, 9854977, 1727708156622
NVDA, 119.934, 10213459, 1727708216622
NVDA, 119.929, 10308706, 1727708276622
NVDA, 119.935, 9845686, 1727708336622
NVDA, 119.935, 9926916, 1727708396622
NVDA, 119.929, 9928016, 1727708456622
NVDA, 119.934, 9942054, 1727708516622
NVDA, 119.937, 9532286, 1727708576622
NVDA, 119.945, 8801313, 1727708636622
NVDA, 119.951, 8783802, 1727708696622
NVDA, 119.976, 9057728, 1727708756622
NVDA, 119.989, 8832956, 1727708816622
NVDA, 120.006, 8995861, 1727708876626
NVDA, 120.010, 8605624, 1727708936622
NVDA, 120.012, 8556782, 1727708996622
NVDA, 120.019, 8581242, 1727709056622
NVDA, 120.045, 8014835, 1727709116622
NVDA, 120.081, 7358917, 1727709176622
NVDA, 120.114, 7127133, 1727709236622
NVDA, 120.161, 6896393, 1727709296622
NVDA, 120.220, 6566462, 1727709356622
NVDA, 120.279, 6539029, 1727709416622
NVDA, 120.313, 7005681, 1727709476622
NVDA, 120.347, 7268641, 1727709536622
NVDA, 120.381, 7087165, 1727709596623
NVDA, 120.397, 6450446, 1727709656622
NVDA, 120.416, 6582895, 1727709716622
NVDA, 120.427, 6260736, 1727709776622
NVDA, 120.446, 6020510, 1727709836622
NVDA, 120.477, 5815949, 1727709896622
NVDA, 120.524, 5889975, 1727709956622
NVDA, 120.565, 5845997, 1727710016624
NVDA, 120.606, 6068507, 1727710076622
NVDA, 120.648, 6106263, 1727710136622
NVDA, 120.697, 6531776, 1727710196622
NVDA, 120.737, 6800747, 1727710256622
NVDA, 120.773, 6701029, 1727710316623
NVDA, 120.798, 6593765, 1727710376622
NVDA, 120.813, 6570421, 1727710436622
NVDA, 120.827, 6778509, 1727710496625
NVDA, 120.829, 6950696, 1727710556622
NVDA, 120.826, 6889419, 1727710616622
NVDA, 120.819, 7032884, 1727710676622
NVDA, 120.808, 7164281, 1727710736626
NVDA, 120.800, 7168800, 1727710796622
NVDA, 120.780, 7156251, 1727710856622
NVDA, 120.755, 7335354, 1727710916622
NVDA, 120.728, 7341501, 1727710976623
NVDA, 120.713, 7650581, 1727711036622
NVDA, 120.686, 7233800, 1727711096623
